,name,ticker,price,volume,market_cap,circulating_supply,tvl
0,Bitcoin,BITCOIN,63232.0,31766258237.0,1192201529093,18854225.0,
1,Ethereum,ETHEREUM,4213.69,17296067190.0,497504368572,118074512.624,
2,Binance Coin,BINANCE COIN,486.45,1344997724.0,81790040482,168137035.9,
3,Tether,TETHER,1.0,62169530445.0,70701484420,70416110814.7574,
4,Cardano,CARDANO,2.16,1468877498.0,69334973107,32066390668.4135,
5,Solana,SOLANA,212.81,4931085571.0,64035183890,300959512.296491,
6,XRP,XRP,1.1,3532876982.0,51496037521,46946349017.0,
7,Polkadot,POLKADOT,44.53,1285817917.0,46479469803,1043664443.19673,
8,Dogecoin,DOGECOIN,0.263268,4054987543.0,34672135488,131848066197.509,
9,USD Coin,USD COIN,1.0,2271212158.0,32725086718,32592309323.2637,
10,Shiba Inu,SHIBA INU,4.185e-05,8396409280.0,20832393391,497730966630395.75,
11,Terra,TERRA,42.73,693071895.0,17145733838,401257592.463243,
12,Chainlink,CHAINLINK,32.21,1384416029.0,14861980417,461009553.9174637,
13,Avalanche,AVALANCHE,67.02,499833634.0,14768235023,220286577.207551,
14,Wrapped Bitcoin,WRAPPED BITCOIN,63351.0,429579900.0,14044055784,221692.78993299,
15,Uniswap,UNISWAP,26.49,219983603.0,13771568332,519857388.1320768,7422879171.0
16,Litecoin,LITECOIN,195.47,1899753769.0,13445802781,68829620.7334713,
17,Binance USD,BINANCE USD,1.0,5078837910.0,12925983087,12878756944.26,
18,Algorand,ALGORAND,1.98,439467542.0,12183570677,6156500972.76507,
19,Bitcoin Cash,BITCOIN CASH,623.49,8104361871.0,11772193149,18882199.8966529,
20,Polygon,POLYGON,1.64,880230054.0,11075184545,6763681380.17,
21,Cosmos,COSMOS,35.39,467100203.0,9953066231,281275384.057632,
22,VeChain,VECHAIN,0.141148,582343077.0,9422213900,66760741299.0,
23,Stellar,STELLAR,0.382121,438758586.0,9220053843,24131667478.5528,
24,Internet Computer,INTERNET COMPUTER,47.88,300201500.0,8311452462,174340831.23,
25,Axie Infinity,AXIE INFINITY,131.81,963558645.0,8062419936,61169000.48000099,
26,FTX Token,FTX TOKEN,65.18,264422116.0,7838015871,120252964.51874323,
27,Fantom,FANTOM,2.97,848186347.0,7554003510,2541152731.01,
28,Filecoin,FILECOIN,64.22,501523016.0,7527170024,117211400.0,
29,Dai,DAI,1.0,452031123.0,7337228886,7296631840.90781,
30,Ethereum Classic,ETHEREUM CLASSIC,55.45,1536271959.0,7233279463,130456366.851596,
31,TRON,TRON,0.100843,1452183759.0,7225701063,71660220128.0,
32,OKB,OKB,25.79,658797502.0,6838384850,265115438.19,
33,Theta Network,THETA NETWORK,6.74,229291406.0,6741420459,1000000000.0,
34,cETH,CETH,84.56,19413122.0,6643252681,78469206.5830754,
35,Near,NEAR,12.21,787939751.0,6421634897,526072613.44006,
36,Lido Staked Ether,LIDO STAKED ETHER,4187.99,21415477.0,5940231472,1416254.440282,
37,Elrond,ELROND,291.53,147501413.0,5819465320,19961533.0,
38,Hedera,HEDERA,0.384824,103334133.0,5779651289,15018941582.0,
39,Tezos,TEZOS,6.58,197066726.0,5690887641,864262264.425947,
