,name,ticker,price,volume,market_cap,circulating_supply,tvl
0,Bitcoin,BTC,63241.0,31761168412.0,1192201529093,18854225.0,
1,Ethereum,ETH,4213.79,17289569416.0,497504368572,118074512.624,
2,Binance Coin,BNB,486.49,1355961288.0,81790040482,168137035.9,
3,Tether,USDT,1.0,62169530445.0,70701484420,70416110814.7574,
4,Cardano,ADA,2.16,1469804350.0,69334973107,32066390668.4135,
5,Solana,SOL,213.06,4932593201.0,64035183890,300959512.296491,
6,XRP,XRP,1.1,3530772311.0,51496037521,46946349017.0,
7,Polkadot,DOT,44.5,1280943537.0,46479469803,1043664443.19673,
8,Dogecoin,DOGE,0.263227,3981606799.0,34672135488,131848066197.509,
9,USD Coin,USDC,1.0,2249818052.0,32725086718,32592309323.2637,
10,Shiba Inu,SHIB,4.181e-05,8369936341.0,20832393391,497730966630395.75,
11,Terra,LUNA,42.75,692576965.0,17145733838,401257592.463243,
12,Chainlink,LINK,32.19,1385203219.0,14861980417,461009553.9174637,
13,Avalanche,AVAX,66.89,498568161.0,14768235023,220286577.207551,
14,Wrapped Bitcoin,WBTC,63344.0,430928364.0,14044055784,221692.78993299,
15,Uniswap,UNI,26.52,220230944.0,13771568332,519857388.1320768,7422879171.0
16,Litecoin,LTC,195.52,1897205572.0,13445802781,68829620.7334713,
17,Binance USD,BUSD,1.0,5068261947.0,12925983087,12878756944.26,
18,Algorand,ALGO,1.99,441747345.0,12183570677,6156500972.76507,
19,Bitcoin Cash,BCH,623.47,8104222650.0,11772193149,18882199.8966529,
20,Polygon,MATIC,1.64,880795532.0,11075184545,6763681380.17,
21,Cosmos,ATOM,35.39,458715324.0,9953066231,281275384.057632,
22,VeChain,VET,0.141303,583639307.0,9422213900,66760741299.0,
23,Stellar,XLM,0.382932,462451995.0,9220053843,24131667478.5528,
24,Internet Computer,ICP,47.9,301884896.0,8353799759,174340831.23,
25,Axie Infinity,AXS,131.95,964893778.0,8062419936,61169000.48000099,
26,FTX Token,FTT,65.19,264342117.0,7838015871,120252964.51874323,
27,Fantom,FTM,2.97,848503989.0,7554003510,2541152731.01,
28,Filecoin,FIL,64.25,500999363.0,7527170024,117211400.0,
29,Dai,DAI,1.0,452031123.0,7337228886,7296631840.90781,
30,Ethereum Classic,ETC,55.44,1538092484.0,7233279463,130456366.851596,
31,TRON,TRX,0.100905,1454052902.0,7225701063,71660220128.0,
32,OKB,OKB,25.87,658704162.0,6838384850,265115438.19,
33,Theta Network,THETA,6.74,228917789.0,6741420459,1000000000.0,
34,cETH,CETH,84.56,19413122.0,6643252681,78469206.5830754,
35,Near,NEAR,12.21,791282673.0,6421634897,526072613.44006,
36,Lido Staked Ether,STETH,4187.99,21415477.0,5931265291,1416254.440282,
37,Elrond,EGLD,291.71,147452585.0,5819465320,19961533.0,
38,Hedera,HBAR,0.386147,114017309.0,5779651289,15018941582.0,
39,Tezos,XTZ,6.59,197072113.0,5690887641,864262264.425947,
40,Monero,XMR,287.83,335094154.0,5189249215,18014121.7383772,
41,Crypto.com Coin,CRO,0.200457,47370407.0,5062908963,25263013692.0,
42,The Graph,GRT,1.01,589846031.0,5010553852,4956845231.0,
43,PancakeSwap,CAKE,19.97,167760805.0,4713327685,236012210.391137,
44,EOS,EOS,4.82,888946165.0,4684162240,971748300.6075,
45,Quant,QNT,312.35,79828558.0,4176479343,13375967.469289193,
46,Aave,AAVE,312.8,176922539.0,4135070378,13223356.285138732,18033996636.0
47,Flow,FLOW,13.39,67971574.0,4107665316,306893775.0,
48,Klaytn,KLAY,1.61,14302079.0,4058512156,2516096831.4,
49,cDAI,CDAI,0.02177557,16153241.0,3936610832,180599497008.011,
50,Olympus,OHM,1212.47,94904327.0,3882584753,3202126.363836399,383569407.0
51,eCash,XEC,0.00019672,90005100.0,3713531912,18879027146789.4,
52,cUSDC,CUSDC,0.02238682,12689806.0,3709891875,165672309044.73,
